Date,Close
2023-08-10,1313.64
2023-08-11,1318.33
2023-08-14,1329.61
2023-08-15,1334.74
2023-08-16,1338.74
2023-08-17,1343.33
2023-08-18,1339.08
2023-08-21,1339.17
2023-08-22,1339.74
2023-08-23,1339.69
2023-08-24,1327.78
2023-08-25,1326.62
2023-08-28,1323.61
2023-08-29,1322.82
2023-08-30,1321.07
2023-08-31,1323.03
2023-09-01,1324.64
2023-09-04,1317.46
2023-09-05,1317.95
2023-09-06,1331.73
2023-09-07,1333.46
2023-09-08,1334.02
2023-09-11,1335.32
2023-09-12,1320.44
2023-09-13,1324.1
2023-09-14,1329.77
2023-09-15,1327.06
2023-09-18,1328.42
2023-09-19,1329.66
2023-09-20,1328.53
2023-09-21,1332.34
2023-09-22,1341.17
2023-09-25,1334.66
2023-09-26,1338.45
2023-09-27,1353.75
2023-09-28,1352.82
2023-09-29,1347.85
2023-10-02,1351.94
2023-10-03,1354.19
2023-10-04,1359.22
2023-10-05,1351.16
2023-10-06,1346.06
2023-10-09,1343.36
2023-10-10,1346.89
2023-10-11,1341.89
2023-10-12,1338.26
2023-10-13,1348.34
2023-10-16,1352.07
2023-10-17,1347.76
2023-10-18,1352.99
2023-10-19,1354.56
2023-10-20,1356.23
2023-10-23,1349.34
2023-10-24,1334.44
2023-10-25,1343.64
2023-10-26,1352.68
2023-10-27,1350.34
2023-10-30,1355.22
2023-10-31,1348.07
2023-11-01,1350.16
2023-11-02,1347.84
2023-11-03,1333.68
2023-11-06,1307.84
2023-11-07,1297.11
2023-11-08,1304.55
2023-11-09,1308.12
2023-11-10,1315.2
2023-11-13,1319.62
2023-11-14,1319.07
2023-11-15,1304.24
2023-11-16,1301.86
2023-11-17,1292.45
2023-11-20,1294.5
2023-11-21,1288.15
2023-11-22,1295.19
2023-11-23,1298.79
2023-11-24,1300.18
2023-11-27,1289.79
2023-11-28,1302.53
2023-11-29,1287.53
2023-11-30,1288.36
2023-12-01,1296.66
2023-12-04,1299.19
2023-12-05,1307.8
2023-12-06,1313.37
2023-12-07,1313.72
2023-12-08,1312.76
2023-12-11,1316.51
2023-12-12,1313.62
2023-12-13,1310.14
2023-12-14,1292.01
2023-12-15,1291.92
2023-12-18,1276.47
2023-12-19,1302.93
2023-12-20,1297.76
2023-12-21,1296.98
2023-12-22,1291.71
2023-12-25,1297.36
2023-12-26,1294.58
2023-12-27,1293.92
2023-12-28,1294.76
2023-12-29,1277.84
2024-01-01,1293.53
2024-01-02,1293.54
2024-01-03,1307.62
2024-01-04,1309.53
2024-01-05,1311.25
2024-01-08,1313.13
2024-01-09,1311.8
2024-01-10,1319.79
2024-01-11,1317.5
2024-01-12,1311.99
2024-01-15,1312.85
2024-01-16,1319.71
2024-01-17,1337.79
2024-01-18,1344.05
2024-01-19,1337.66
2024-01-22,1333.21
2024-01-23,1338.74
2024-01-24,1336.78
2024-01-25,1329.89
2024-01-26,1336.03
2024-01-29,1336.76
2024-01-30,1333.21
2024-01-31,1326.62
2024-02-01,1333.91
2024-02-02,1328.95
2024-02-05,1337.73
2024-02-06,1333.39
2024-02-07,1326.79
2024-02-08,1327.62
2024-02-09,1331.47
2024-02-12,1330.06
2024-02-13,1328.5
2024-02-14,1340.79
2024-02-15,1326.0
2024-02-16,1327.66
2024-02-19,1331.58
2024-02-20,1333.34
2024-02-21,1333.75
2024-02-22,1332.87
2024-02-23,1327.17
2024-02-26,1330.0
2024-02-27,1331.72
2024-02-28,1331.79
2024-02-29,1333.38
2024-03-01,1335.2
2024-03-04,1330.9
2024-03-05,1328.94
2024-03-06,1333.43
2024-03-07,1327.09
2024-03-08,1321.18
2024-03-11,1315.98
2024-03-12,1310.54
2024-03-13,1311.15
2024-03-14,1313.65
2024-03-15,1321.92
2024-03-18,1329.34
2024-03-19,1336.09
2024-03-20,1337.02
2024-03-21,1330.11
2024-03-22,1334.68
2024-03-25,1343.6
2024-03-26,1339.13
2024-03-27,1343.06
2024-03-28,1349.8
2024-03-29,1349.8
2024-04-01,1345.31
2024-04-02,1355.53
2024-04-03,1350.73
2024-04-04,1344.84
2024-04-05,1351.36
2024-04-08,1350.27
2024-04-09,1354.22
2024-04-10,1348.54
2024-04-11,1363.76
2024-04-12,1367.84
2024-04-15,1379.61
2024-04-16,1387.67
2024-04-17,1387.34
2024-04-18,1379.54
2024-04-19,1379.4
2024-04-22,1373.93
2024-04-23,1378.84
2024-04-24,1370.48
2024-04-25,1376.97
2024-04-26,1371.7
2024-04-29,1377.09
2024-04-30,1374.64
2024-05-01,1385.46
2024-05-02,1375.0
2024-05-03,1364.64
2024-05-06,1355.05
2024-05-07,1352.17
2024-05-08,1357.73
2024-05-09,1361.94
2024-05-10,1365.4
2024-05-13,1370.11
2024-05-14,1363.79
2024-05-15,1362.55
2024-05-16,1353.6
2024-05-17,1346.04
2024-05-20,1353.39
2024-05-21,1360.16
2024-05-22,1363.42
2024-05-23,1365.81
2024-05-24,1367.62
2024-05-27,1365.71
2024-05-28,1360.93
2024-05-29,1362.76
2024-05-30,1370.55
2024-05-31,1375.62
2024-06-03,1382.1
2024-06-04,1370.79
2024-06-05,1373.72
2024-06-06,1368.74
2024-06-07,1365.25
2024-06-10,1379.05
2024-06-11,1373.96
2024-06-12,1377.36
2024-06-13,1370.41
2024-06-14,1373.74
2024-06-17,1382.28
2024-06-18,1379.06
2024-06-19,1378.61
2024-06-20,1381.15
2024-06-21,1391.82
2024-06-24,1388.39
2024-06-25,1386.11
2024-06-26,1390.89
2024-06-27,1393.38
2024-06-28,1386.95
2024-07-01,1380.29
2024-07-02,1383.42
2024-07-03,1383.42
2024-07-04,1385.77
2024-07-05,1380.25
2024-07-08,1376.57
2024-07-09,1382.75
2024-07-10,1382.42
2024-07-11,1382.99
2024-07-12,1371.27
2024-07-15,1374.11
2024-07-16,1383.69
2024-07-17,1382.64
2024-07-18,1378.65
2024-07-19,1385.24
2024-07-22,1388.81
2024-07-23,1387.1
2024-07-24,1384.57
2024-07-25,1382.65
2024-07-26,1381.43
2024-07-29,1382.09
2024-07-30,1381.36
2024-07-31,1383.5
2024-08-01,1367.92
2024-08-02,1368.97
2024-08-05,1357.17
2024-08-06,1367.4
2024-08-07,1370.31
2024-08-08,1375.33
2024-08-09,1373.76
2024-08-12,1363.84
2024-08-13,1369.54
2024-08-14,1362.17
2024-08-15,1355.71
2024-08-16,1363.51
2024-08-19,1348.98
2024-08-20,1330.88
2024-08-21,1327.58
2024-08-22,1333.66
2024-08-23,1339.54
2024-08-26,1323.88
2024-08-27,1326.64
2024-08-28,1326.36
2024-08-29,1336.69
2024-08-30,1332.88
2024-09-02,1336.58
2024-09-03,1337.55
2024-09-04,1340.41
2024-09-05,1331.01
2024-09-06,1332.79
2024-09-09,1337.77
2024-09-10,1341.27
2024-09-11,1343.34
2024-09-12,1339.18
2024-09-13,1335.69
2024-09-16,1329.51
2024-09-17,1319.11
2024-09-18,1322.93
2024-09-19,1322.26
2024-09-20,1327.61
2024-09-23,1331.5
2024-09-24,1333.62
2024-09-25,1324.89
2024-09-26,1335.05
2024-09-27,1313.3
2024-09-30,1309.3
2024-10-01,1315.33
2024-10-02,1324.84
2024-10-03,1324.03
2024-10-04,1334.41
2024-10-07,1345.88
2024-10-08,1342.37
2024-10-09,1341.31
2024-10-10,1343.02
2024-10-11,1349.74
2024-10-14,1348.33
2024-10-15,1357.27
2024-10-16,1363.18
2024-10-17,1364.2
2024-10-18,1370.05
2024-10-21,1369.01
2024-10-22,1376.5
2024-10-23,1376.63
2024-10-24,1377.34
2024-10-25,1376.32
2024-10-28,1387.66
2024-10-29,1381.97
2024-10-30,1383.18
2024-10-31,1378.57
2024-11-01,1372.93
2024-11-04,1379.34
2024-11-05,1372.86
2024-11-06,1378.0
2024-11-07,1399.8
2024-11-08,1372.08
2024-11-11,1397.2
2024-11-12,1400.55
2024-11-13,1406.65
2024-11-14,1399.0
2024-11-15,1400.83
2024-11-18,1394.35
2024-11-19,1389.5
2024-11-20,1392.16
2024-11-21,1397.62
2024-11-22,1399.6
2024-11-25,1403.51
2024-11-26,1395.56
2024-11-27,1395.27
2024-11-28,1388.47
2024-11-29,1393.3
2024-12-02,1399.86
2024-12-03,1401.06
2024-12-04,1411.67
2024-12-05,1410.8
2024-12-06,1399.99
2024-12-09,1424.22
2024-12-10,1426.6
2024-12-11,1433.95
2024-12-12,1429.15
2024-12-13,1427.86
2024-12-16,1434.45
2024-12-17,1431.35
2024-12-18,1436.42
2024-12-19,1451.5
2024-12-20,1437.45
2024-12-23,1445.42
2024-12-24,1442.7
2024-12-25,1453.42
2024-12-26,1457.61
2024-12-27,1466.99
2024-12-30,1472.8
2024-12-31,1467.39
2025-01-02,1473.52
2025-01-03,1471.65
2025-01-06,1465.53
2025-01-07,1459.45
2025-01-08,1451.88
2025-01-09,1457.97
2025-01-10,1455.23
2025-01-13,1472.25
2025-01-14,1458.89
2025-01-15,1460.44
2025-01-16,1437.22
2025-01-17,1453.32
2025-01-20,1457.38
2025-01-21,1435.53
2025-01-22,1425.79
2025-01-23,1434.34
2025-01-24,1433.93
2025-01-27,1427.63
2025-01-28,1417.92
2025-01-29,1443.26
2025-01-30,1443.32
2025-01-31,1441.66
2025-02-03,1456.78
2025-02-04,1459.05
2025-02-05,1450.16
2025-02-06,1443.89
2025-02-07,1442.15
2025-02-10,1450.62
2025-02-11,1453.21
2025-02-12,1450.75
2025-02-13,1452.12
2025-02-14,1438.74
2025-02-17,1432.6
2025-02-18,1441.29
2025-02-19,1440.08
2025-02-20,1439.98
2025-02-21,1431.7
2025-02-24,1434.29
2025-02-25,1428.65
2025-02-26,1429.5
2025-02-27,1434.42
2025-02-28,1449.86
2025-03-03,1459.8
2025-03-04,1457.93
2025-03-05,1452.85
2025-03-06,1443.03
2025-03-07,1446.5
2025-03-10,1446.26
2025-03-11,1457.03
2025-03-12,1451.02
2025-03-13,1448.75
2025-03-14,1453.23
2025-03-17,1449.05
2025-03-18,1442.49
2025-03-19,1448.94
2025-03-20,1443.39
2025-03-21,1465.82
2025-03-24,1464.78
2025-03-25,1466.27
2025-03-26,1462.09
2025-03-27,1465.68
2025-03-28,1461.89
2025-03-31,1469.41
2025-04-01,1471.96
2025-04-02,1469.97
2025-04-03,1466.04
2025-04-04,1450.68
2025-04-07,1458.52
2025-04-08,1469.95
2025-04-09,1486.13
2025-04-10,1443.95
2025-04-11,1452.04
2025-04-14,1419.05
2025-04-15,1419.42
2025-04-16,1427.02
2025-04-17,1414.23
2025-04-22,1421.64
2025-04-23,1429.22
2025-04-24,1426.45
2025-04-25,1430.06
2025-04-28,1437.36
2025-04-29,1435.88
2025-04-30,1431.16
2025-05-01,1423.75
2025-05-02,1435.1
2025-05-05,1398.9
2025-05-06,1374.37
2025-05-07,1374.77
2025-05-08,1397.29
2025-05-09,1403.85
2025-05-12,1395.17
2025-05-13,1416.03
2025-05-14,1416.0
2025-05-15,1407.33
2025-05-16,1397.02
2025-05-19,1398.13
2025-05-20,1388.55
2025-05-21,1392.73
2025-05-22,1373.86
2025-05-23,1381.34
2025-05-26,1364.73
2025-05-27,1368.1
2025-05-28,1374.8
2025-05-29,1373.6
2025-05-30,1370.41
2025-06-02,1381.99
2025-06-03,1376.07
2025-06-04,1377.72
2025-06-05,1361.09
2025-06-06,1354.55
2025-06-09,1359.19
2025-06-10,1353.85
2025-06-11,1363.88
2025-06-12,1365.69
2025-06-13,1349.79
2025-06-16,1365.14
2025-06-17,1357.78
2025-06-18,1380.5
2025-06-19,1370.75
2025-06-20,1374.89
2025-06-23,1369.47
2025-06-24,1361.94
2025-06-25,1353.78
2025-06-26,1357.03
2025-06-27,1352.76
2025-06-30,1363.59
2025-07-01,1348.5
2025-07-02,1355.59
2025-07-03,1354.75
